lAboutText1	~1~ ~2~ (~3~ bits)
lControlToolTipParentMenu	Ga naar het hoofdmenu
lControlToolTipPreviousMenu	Ga terug naar het vorige menu
lControlToolTipSearchBoxClear	Wis het zoekvak en toon alle favorieten
lControlToolTipSearchBoxExtended	Zoek in het huidige menu naar favorieten *en* naar diverse eigenschappen
lControlToolTipSearchButton	Zoek naar favorieten
lControlToolTipSeparator	Voeg een separator toe op de huidige positie
lControlToolTipSortFavorites	Sorteer alle (of geselecteerde) favorieten in de lijst
lControlToolTipTextSeparator	Voeg een tekst menu separator toe op de huidige positie
lCopyFavoritesToMenuOrGroup	Menu's en groepen kunnen niet gekopieerd worden.`n`nWilt je verder gaan zonder het kopiëren van de menu's en/of groepen?
lCopyLocationCopiedToClipboard	Pad of Website is gekopieërd naar het klembord
lDiagModeCaution	~1~ wordt momenteel uitgevoerd in diagnose-modus.`n`nInformatie over de uitvoering van de applicatie zal worden verzameld in het bestand:`n~2~`n`nNiets zal worden verzonden zonder jouw goedkeuring.`n`nWil je de diagnosemodus ingeschakeld laten?
lDiagModeExit	~1~ heeft informatie voor foutdiagnose verzameld in het bestand ~2~.
lDiagModeIntro	Verstuur dit bestand naar ahk@jeanlalonde.ca met een beschrijving van de situatie dat onderzocht dient te worden.
lDiagModeSee	Wil je het diagnostische log-bestand inzien?
lDialogActivateAlreadyRunning	Als de applicatie al uitgevoerd wordt dient deze geopend te worden in plaats van de applicatie wederom op te starten`n(applicatie dient zich op exact dezelfde locatie te bevinden)
lDialogAdd	Toevoegen
lDialogAddEditFavoriteTitle	~1~ Favoriet: ~4~ - ~2~ ~3~
lDialogAddFavoriteSelectTitle	Favoriettype toevoegen - ~1~
lDialogAddFavoriteTabs	Basis Opties|Menu Opties|Venster Opties|Geavanceerde Opties
lDialogAddFavoriteTabsExternal	Openbaar menu
lDialogAddFavoriteTabsLive	Opties voor de huidige map
lDialogAddFileSelect	Selecteer het nieuwe document:
lDialogAddFolderManuallyPrompt	Sorry, we kunnen de huidige map niet opvragen in dit venstertype.`n`nWil je de map handmatig toevoegen?
lDialogAddFolderManuallyTitle	Voeg actieve map of webpagina toe - ~1~ ~2~
lDialogAddFolderSelect	Selecteer of maak een nieuwe map:
lDialogAlt	Alt
lDialogAltShort	Alt
lDialogApplicationLabel	Applicatie
lDialogAppWorkingDirCurrent	Start de applicatie op de locatie waar deze favoriet is gestart
lDialogArgumentsLabel	Parameters
lDialogArgumentsLabelHelp	(Bij het gebruik van meerdere parameters dient elke parameter van dubbele aanhalingstekens voorzien te zijn)
lDialogArgumentsPlaceholdersCheckLabel	Huidige parameters met dubbele aanhalingstekens
lDialogArgumentsPlaceholdersCurrentExample	x:\Hoofdmap\Submap
lDialogArgumentsPlaceholdersSelectedExample	x:\map\geselecteerde_map_of_bestand
lDialogAscending	Oplopend
lDialogBrowseButton	Bladeren...
lDialogBrowseOrSelectApplication	Blader naar een uitvoerbaar bestand of selecteer een uitvoerbaar bestand in deze lijst
lDialogCancelButton	Annuleren
lDialogCancelPrompt	Wijzigingen ongedaan maken?
lDialogCancelTitle	Annuleren - ~1~ ~2~
lDialogChangeHotkeyAlternative	Dit is een alternatieve menusneltoets.`n`nWil je deze aanpassen van "~1~" in "~2~"?
lDialogChangeHotkeyAny	Beide toetsen
lDialogChangeHotkeyLeftAnyRight	Van elke functietoets kan bepaald worden welke actief is in combinatie met een sneltoets, geef hieronder jouw voorkeur aan.
lDialogChangeHotkeyModifierAndNone	Functietoetsen zoals "Alt" of "Control" kunnen niet zonder sneltoets geselecteerd worden. Selecteer ook een muis of snel -toets in de rechter sectie.
lDialogChangeHotkeyMouseCheckLButton	Het is niet mogelijk om de "Linker Muistoets" te selecteren zonder een functietoets:`n(zoals: ~1~, ~2~, ~3~ of ~4~).
lDialogChangeHotkeyPopup	Dit is een sneltoets voor een popupmenu.`n`nWil je deze aanpassen van "~1~" in "~2~"?
lDialogChangeHotkeyTitle	Wijzig snelkoppeling - ~1~ ~2~
lDialogChangeHotstringDefaultOptionsPrompt	Selecteer de standaard opties voor de nieuw aangemaakte hotstrings (<a href="~1~">Help</a>)
lDialogChangeHotstringReload	Wijzigingen met betrekking tot hotstrings zullen tot een automatische herstart van ~1~ leiden. Herstart ~1~ na het opslaan van favorieten.
lDialogChangeHotstringTitle	Wijzig hotstring - ~1~
lDialogChangeHotstringTitleDefaultOptions	Standaard opties voor hotstrings  - ~1~
lDialogCloseAllWindows	Sluit alle vensters
lDialogCloseAllWindowsClose	Sluit geselecteerde vensters
lDialogCloseAllWindowsDetail	Venstertitel:`n~1~`n`nProcespad van het venster:`n~2~`n`nWil je dit venster sluiten?
lDialogCloseAllWindowsHeader	Venstertitel
lDialogCloseAllWindowsIntro	Controleer de te sluiten vensters en klik op "Sluit geselecteerde vensters". Dubbelklik of druk op Enter om een venster te sluiten of de details hiervan in te zien.
lDialogCloseAllWindowsSelectAll	Selecteer/Deselecteer alle vensters
lDialogCloseComputerControl	Sluit Computer Control Center
lDialogCloseComputerControlDescription	Neem de volledige controle over hoe uw computer zal afsluiten:`n - Afmelden, Afsluiten, Opnieuw opstarten, al dan niet geforceerd'n- slaapstand of sluimerstand, al dan niet geforceerd, wekgebeurtenissen uitschakelen`n- monitor uitschakelen, inschakelen lage voedingsmodus voor de monitor of de screensaver starten.
lDialogCloseComputerDisableWakeEvents	Wekgebeurtenissen uitschakelen
lDialogCloseComputerForce	Forceren (mogelijk dataverlies als gevolg)
lDialogCloseComputerGo	De geselecteerde actie uitvoeren
lDialogCloseComputerHibernate	Computer in Slaapstand zetten
lDialogCloseComputerHibernateDescription	Schakel de computer in een energiebesparende stand zodat deze snel weer op kan starten (vergelijkbaar met slaapstand maar met minder stroom). Wanneer je de pc opnieuw opstart, ben je terug bij waar je gebleven was (maar niet zo snel als de slaapstand). Sluimerstand is ontworpen voor laptops en is mogelijk niet voor alle pc's beschikbaar.
lDialogCloseComputerLogoff	Gebruiker uitloggen
lDialogCloseComputerLogoffDescription	Sluit alle toepassingen en beëindig de huidige gebruikerssessie.
lDialogCloseComputerMonitorLowPower	Schakel de monitor in energiebesparende modes
lDialogCloseComputerMonitorLowPowerDescription	Schakel de monitor in de energiebesparende modus. De energiezuinige modus is ontworpen voor laptops en is mogelijk niet beschikbaar voor desktopmonitoren.
lDialogCloseComputerMonitorTurnOff	Schakel de monitor uit
lDialogCloseComputerMonitorTurnOffDescription	Schakel de monitor uit.
lDialogCloseComputerPowerDown	De computer uitschakelen
lDialogCloseComputerPowerDownDescription	Sluit alle toepassingen en schakel de computer uit.
lDialogCloseComputerPrompt	Selecteer een optie alsjeblieft...
lDialogCloseComputerRestart	Herstart de computer
lDialogCloseComputerRestartDescription	Sluit alle toepassingen en start de computer opnieuw op alsof de gebruiker de computer uit- en weer aanzet.
lDialogCloseComputerShutdown	Computer uitschakelen
lDialogCloseComputerShutdownDescription	Sluit alle toepassingen voor het uitschakelen van je computer. Afhankelijk van de systeemconfiguratie kan dit automatisch worden gevolgd met het uitschakelen van de computer.
lDialogCloseComputerStartScreenSaver	Start de schermbeveiliging
lDialogCloseComputerStartScreenSaverDescription	Start de ingestelde schermbeveiliging.
lDialogCloseComputerSuspend	Schakel de computer in slaapstand
lDialogCloseComputerSuspendDescription	Schakel de computer in de energiebesparende stand zodat deze snel weer opgestart kan worden. De slaapstand verbruikt heel weinig stroom, jouw computer start sneller op en je bent direct weer terug bij het punt waar je was gebleven.
lDialogCloseComputerSuspendImmediately	Schakel direct de slaapstand in (mogelijk dataverlies als gevolg)
lDialogContinue	Volgende
lDialogCopy	Kopiëren
lDialogCopyFavoritesTitle	KopieÃ«r Favorieten - ~1~ ~2~
lDialogCtrl	Control
lDialogCtrlShort	Ctrl
lDialogDescending	Aflopend
lDialogDropDown	drop-down
lDialogEdit	Bewerken
lDialogEditIcon	Wijzig pictogrambronlocatie
lDialogEditIconPrompt	Wijzig pictogrambronlocatie in het formaat "pictomgrambestand,index" (als voorbeeld, "shell32.dll,2"):
lDialogElevate	Applicatie als administrator uitvoeren
lDialogEndOfMenu	Einde van het menu
lDialogErrorMoving	Het is niet mogelijk om de favoriet te herschalen:`n"~1~"
lDialogExtendedSearch	Uitgebreide zoekopdracht
lDialogExternalLocation	Bestandslocatie voor openbare menuinstellingen
lDialogExternalLocationIni	Het openbare menuinstellingenbestand dient een .ini-bestand te zijn
lDialogExternalLocationReadOnly	Locatie van een bestaand openbaar menu kan niet worden gewijzigd. Als het bestand is hernoemt of verplaatst, verwijder dan dit openbaar menu en creëer een nieuw menu met het hernoemde of verplaatste bestand.
lDialogExternalMenuAdd	De geselecteerde openbare menu('s) toevoegen
lDialogExternalMenuAdded	Openbaar menu toegevoegd.
lDialogExternalMenuAddFromCatalogue	Openbaar menu toevoegen vanuit de catalogus - ~1~ ~2~
lDialogExternalMenuAddHeader	Naam voor openbaar menu|Instellingenbestand voor openbaar menu
lDialogExternalMenuAddNotFromCatalogue	Een volgend openbaar menu toevoegen
lDialogExternalMenuName	Naam voor het openbare menu
lDialogExternalMenuNotExist	Dit openbaar menu bestaat niet.`nWilt u een nieuw leeg openbaar menu aanmaken op deze locatie?`n`n~1~
lDialogExternalMenuOpen	Openbaar menubestand openen?
lDialogExternalMenusAdded	~1~ openbare menu's toegevoegd.
lDialogExternalMenuSelectFromCatalogue	Selecteer 1 of meer openbare menu's om deze toe te voegen aan het menu and klik op ~1~
lDialogExternalSource	Station waar het openbaar menu zich bevindt
lDialogExternalSourceCloud	Cloud station (b.v. Dropbox, tijd wordt automatisch gesynchroniseerd door de UTC tijd)
lDialogExternalSourceNetwork	Netwerk station (synchronisatie gebaseerd op bestands-tijdsstempel)
lDialogExternalStartingNumber	Nummer van het eerste favoriet:
lDialogExternalTip	Dubbelklik op een regel om menuinformatie te bekijken.
lDialogExternalTypes	Persoonlijk (menu gedeeld op verschillende computers voor dezelfde gebruiker)|In teamverband (menu staat op een netwerklocatie voor een team of werkgroep)|Gecentraliseerd (menu staat op een netwerklocatie en wordt beheerd door een menuadministrator)
lDialogExternalTypesLabel	Type van het openbaar menu
lDialogExternalTypesTitle	Type van openbaar menu
lDialogExternalWriteAccessMessage	Bericht voor schrijfrechten openbaar menu
lDialogExternalWriteAccessUsers	Gebruikers met schrijfrechten tot dit openbare menu
lDialogFavoriteDisabled	Schakel deze favoriet uit
lDialogFavoriteDisabledGroupMember	Schakel dit item uit in de groep
lDialogFavoriteDoesNotExistEdit	Wilt u deze favoriet wijzigen?
lDialogFavoriteDoesNotExistPrompt	De favoriet "~1~" ~2~ bestaat niet of is niet beschikbaar.`n`nIndien deze favoriet zich op een netwerklocatie bevindt, controleer dan of u voldoende rechten en verbinding heeft met de netwerklocatie.
lDialogFavoriteDoesNotExistTitle	Favoriet bestaat niet - ~1~
lDialogFavoriteDropdownEmpty	Selecteer een item in de ~1~ ~2~ lijst.
lDialogFavoriteExternalHelpWeb	Voor meer informatie navigeer naar <a href="~1~">Hulp voor Openbare Menu's</a>
lDialogFavoriteExternalSaveNote	nb: Waardes in deze tab worden opgeslagen zodra "~1~" ingedrukt wordt.
lDialogFavoriteFolderLive	Live map (menu inclusief submappen)
lDialogFavoriteFolderLiveColumns	Aantal items per kolom (0 voor uitschakelen)
lDialogFavoriteFolderLiveDocuments	Documenten insluiten
lDialogFavoriteFolderLiveExclude	Uitsluiten
lDialogFavoriteFolderLiveExtensions	deze extenties (meerdere extenties kunnen worden toegevoegd door middel van spaties tussen de extenties, als voorbeeld "bak bk")
lDialogFavoriteFolderLiveInclude	Bijvoegen
lDialogFavoriteFolderLiveLevels	Aantal submapniveau's om in te voegen in Live mapmenu
lDialogFavoriteFolderLiveType	Live map
lDialogFavoriteLaunchWithDoesNotExistTitle	Openen met deze applicatie bestaat niet - ~1~
lDialogFavoriteLocationEmpty	Deze locatie is leeg, selecteer een locatie alsublieft.
lDialogFavoriteMenuPosition	Voeg het favoriet toe vóór het geselecteerde item
lDialogFavoriteNameEmpty	Er is geen naam geselecteerd voor de favoriet, voer een naam in alstublieft.
lDialogFavoriteNameNoSeparator	Gereserveerd karakter "~1~" kan niet worden gebruikt in een itemnaam.
lDialogFavoriteNameNotAllowed	Favorieten van het type "~1~" zijn niet toegestaan in een groep, selecteer een ander hoofdmenu in de "Menu Opties" tab.
lDialogFavoriteNameNotNew	De naam "~1~" is al in gebruik, selecteer een unieke naam alstublieft.
lDialogFavoriteNameNotNewQAPfeature	De naam "~1~" is al in gebruik, hernoem de bestaande favoriet en probeer het opnieuw.
lDialogFavoriteParentMenu	Favoriete hoofdmenu
lDialogFavoriteParentMenuMove	Verplaats favoriet naar dit menu
lDialogFavoriteRemoveExternalPrompt	Verwijder het openbare submenu "~1~" (het externe instellingenbestand (.ini) zal niet worden verwijderd)?
lDialogFavoriteRemoveGroupPrompt	Verwijder de groep "~1~" (items in de groep zullen ook verwijderd worden)?
lDialogFavoriteRemovePrompt	Wilt u het submenu "~1~" inclusief ALLE inhoud (mappen en submenu's) verwijderen?
lDialogFavoriteRemoveTitle	Verwijder favoriet - ~1~
lDialogFavoriteSelectType	Selecteer het type favoriet om toe te voegen`n`nIn het volgende scherm kunt u het volgende definieren:`n- Naam`n- Inhoud (afhankelijk van het geselecteerde type)`n- Instellingen (zoals pictogram, sneltoets, etc.)`n`nKies uw gewenste favorietentype en druk op "~1~".
lDialogFavoriteShortNameLabel	Afkortingsnaam voor dit menu
lDialogFavoritesMenuPosition	Voeg het favoriet toe vóór het geselecteerde item
lDialogFavoriteSnippetEmpty	Er is geen inhoud beschikbaar voor dit fragment, voer alstublieft inhoud in.
lDialogFavoriteSnippetFixedFont	Vaste breedte voor het lettertype
lDialogFavoriteSnippetFontSize	Grootte voor lettertype
lDialogFavoriteSnippetHelpNoProcess	Gebruik ``n voor het einde van de zin, en ''t voor een tab. Gebruik ```` (dubbele  accent grave) voor een accent grave.
lDialogFavoriteSnippetHelpProcess	Gebruik "Ctrl+Tab" om tabs in te voegen en "Enter" voor een nieuwe regel.
lDialogFavoriteSnippetHelpWeb	Browse naar <a href="~1~">Snippets</a> en <a href="~2~">Placeholders</a> voor hulp.
lDialogFavoriteSnippetProcessEOLTab	Configureer Einde-van-de-Zin en Tabs automatisch
lDialogFavoriteSnippetPromptLabel	Prompt voor ~1~ het fragment
lDialogFavoriteSnippetPromptLabelLaunching	Starten
lDialogFavoriteSnippetPromptLabelPasting	plakken
lDialogFavoriteSnippetPromptNoPipe	Het karakter: "Verticale lijn: |" kan niet worden gebruikt in een fragment prompt.
lDialogFavoriteSnippetSendMode	Kopieër het fragment naar de huidige applicatie in:
lDialogFavoriteSnippetSendModeMacro	Macro modus
lDialogFavoriteSnippetSendModeText	Tekst modus
lDialogFavoritesParentMenuCopy	KopieÃ«r ~1~ favorieten naar dit menu
lDialogFavoritesParentMenuMove	Verplaats ~1~ favoriet naar dit menu
lDialogFavoriteType	Favoriet type
lDialogFavoriteTypeNoteApplication	Nb: Er is een nieuwe soort Windows Applicatie welke geen gebruik meer maakt van de traditionele executables (*.exe). Deze applicaties dragen de naam "Windows Apps" en zijn voorgeÃ¯nstalleerd in Windows 8 en 10 of deze kunnen gedownload worden vanuit de Windows Store. Deze Apps kunnen ook aan QAP worden toegevoegd door het nieuwe favoriettype "Windows Apps".
lDialogFavoriteTypeNoteWindowsApps	Nb: "Windows Apps" zijn een nieuwe soort Windows Applicaties welke geen gebruik meer maakt van de traditionele executables (*.exe).en zijn voorgeÃ¯nstalleerd in Windows 8 en 10 of deze kunnen gedownload worden vanuit de Windows Store. Als u een traditioneel bestand (.exe, .com, .bat en andere script-bestanden) wilt toevoegen aan QAP dan selecteert u het favoriettype: "Applicatie".
lDialogFavoriteTypesHelp1	Creër een snelkoppeling naar de veel gebruikte "map".`n`nConfigureer de naam van het favoriet, pad en de verschillende menu opties.`n`nLive map opties zorgen voor een automatisch aanpasbaar menu aan de hand van de aangepaste mapstuctuur op het station.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van bestandsbeheerders en locatie van het venster op het scherm.
lDialogFavoriteTypesHelp13	Creër een "fragment".`n`nConfigureer het fragment's titel voor het menu, zijn inhoud en de verschillende menu opties.`n`nIn Geavanceerde Opties kunt u aangeven of u gebruik wilt maken van de "Tekst Modus", welke toestaat om normale stukken tekst te plakken zoals u doet met het klembord óf kies voor "Macro Modus" om toetsaanslagen te typen inclusief "speciale toetsen" (zie help).
lDialogFavoriteTypesHelp14	Creër een "Openbaar menu" om op verschillende computers favorieten te delen vanuit een op het netwerk opgeslagen instellingenbestand.`n`nOpenbare menu's kunnen als "Persoonlijk", "In teamverband" of in "Gecentraliseerd" worden geconfigureerd. Een catalogus kan ingesteld worden om de verschillende opties voor het "Openbaar menu" op te slaan, deze vindt u in "Opties" -> "Algemeen".`n`nOpenbare menu's kunnen als standaard favorieten worden bewerkt. Alleen geselecteerde gebruikers met de juiste rechten mogen een "Gecentraliseerd" menu aanpassen (zie help of FAQ).
lDialogFavoriteTypesHelp15	Maak een "Tekst Scheider" aan om een rubriek aan te maken, hierdoor instaat meer duidelijkheid in het menu.`n`nStandaard heeft een "Tekst Scheider" geen pictogram, maar deze kunt u toevoegen in het "Instellingen Menu".
lDialogFavoriteTypesHelp16	CreÃ«er een snelkoppeling naar een "Windows App".`n`nSelecteer de gewenste Windows App vanuit de lijst van geÃ¯nstalleerde Apps op uw systeem.`n`nDeze lijst is ververst tijdens de start van QAP en kan ververst worden op gebruikers verzoek.
lDialogFavoriteTypesHelp2	Creëer een sneltoets naar een "Document".`n`nConfigureer de naam van het favoriet, pad en de verschillende menu opties.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van de gebruikte applicatie en optionele instellingen.
lDialogFavoriteTypesHelp3	Creëer een sneltoets naar een "Applicatie" (programma, batch of script).`n`nBlader voor het executable bestand of selecteer een van de al uitgevoerde programma's.`n`nConfigureer de verschillende menu opties.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van een "Start in" map en eventuele parameters.
lDialogFavoriteTypesHelp4	Creër een snelkoppeling naar een van de 50 voorgedefineërde Windows Speciale mappen zoals Bibliotheken, Mijn afbeeldingen, Prullenbak, Downloads, etc.`n`nConfigureer de naam van het favoriet en de verschillende menu opties.`n`nGeavanceerde Opties zorgen o.a. voor de selectie van de bestandsbeheerder, optionele instellingen en de locatie van het venster op het scherm.
lDialogFavoriteTypesHelp5	Creër een "Link" naar een website.`n`nConfigureer de menunaam, websites adres (URL) en de verschillende opties.`n`nGeavanceerde Opties laten u de webbrowser selecteren waar de link in geopend wordt en meer verschillende opties.
lDialogFavoriteTypesHelp6	Creër een link naar een "FTP site".`n`nConfigureer de naam van het favoriet, FTP-adres (URL), loginnaam, wachtwoord en de verschillende opties.`n`nGeavanceerde Opties laten u de FTP-Client selecteren waarin de FTP-link wordt gestart, optionele parameters, en de locatie van het venster op het scherm.`n`nNB. Wachtwoorden worden NIET versleuteld over het internet verstuurd!
lDialogFavoriteTypesHelp7	Voeg "Quick Access Popup Functies" toe in het menu zoals: ~1~, ~2~, ~3~, ~4~, ~5~, etc.`n`nZie omschrijving en help -links voor meer informatie.
lDialogFavoriteTypesHelp8	Verzamel gerelateerde favorieten in een "Submenu". 'n'nGeef uw submenu een naam en selecteer de menuopties.`n`nVoeg favorieten toe aan uw submenu of verplaats favorieten naar een andere submenu's of groepen door middel van de "Verplaatsen" knop, of in de "menu opties" tab onder het "Wijzig favoriet" venster.
lDialogFavoriteTypesHelp9	Voer een "groep" van favorieten uit, allen in 1 enkele snelkoppeling!`n`nGeef uw groep een naam en configureer de verschillende opties voor uw groep.`n`nVoeg favorieten toe aan uw groep of verplaats favorieten naar een andere submenu's of groepen door middel van de "Verplaatsen" knop, of in de "menu opties" tab onder het "Wijzig favoriet" venster.`n`nIn Geavanceerde Opties kunt u bepalen wat de wachttijd tussen het starten van de verschillende favorieten dient te worden.
lDialogFavoriteTypesLabels	Map|Document|Applicatie|Speciale Map|Link (URL)|FTP Site|QAP Functies|Submenu|Groep||||Fragment|Openbaar Menu|Tekst Separator|Windows App
lDialogFavoriteTypesLocationLabels	Map (pad)|Document (pad en bestandsnaam)|Applicatie (pad en bestandsnaam)||Link (URL)|FTP Site (URL)|||||||Inhoud|Extern instellingenbestand (pad)|Tekst Separator|Windows App ID (AUMID)
lDialogFavoriteTypesShortNames	Map|Doc|App|Speciaal|Link|FTP|QAP|Menu|Groep|Separator|Kolomeinde|..|Fragment|Openbaar|Tekst|Win App
lDialogFavoriteWorkingDirNotFoundPrompt	De geavanceerde functie "Start in" van favoriet "~1~" is niet gevonden:`n~2~
lDialogFavoriteWorkingDirNotFoundTitle	"Start in" parameter niet gevonden - ~1~
lDialogFileExtension	Bestandsextensie
lDialogFileLabel	Document
lDialogFileName	Bestandsnaam
lDialogFileSize	Bestandsformaat
lDialogFolderLabel	Map
lDialogGetWebPageTitle	Haal titel op
lDialogGetWinInfo	Klik in het doelvenster met de QAP-menusneltoets [~1~] om de titel, klasse of procesnaam van het venster te identificeren.
lDialogGetWInInfo2Clippoard	Venstertitel:`n"~1~"`n`nKlasse:`n"~2~"`n`nProcesnaam:`n"~3~"`n`nDeze informatie naar het klembord kopiëren?
lDialogHotkeyInvisibleKeys	<a id="~1~">Spatiebalk</a>, <a id="~2~">tab</a>, <a id="~3~">enter</a>, <a id="~4~">escape</a>`nof <a id="~5~">menu toets (applicatie)</a>
lDialogHotkeys	Sneltoetsen
lDialogHotkeysManageAboutHotstrings	Actieve Hotstrings in ~1~
lDialogHotkeysManageAboutShortcuts	Actieve Sneltoetsen in ~1~
lDialogHotkeysManageAlternative	Alternatief
lDialogHotkeysManageAlternativeMenu	Alternatief menu
lDialogHotkeysManageIntro	Dubbelklik op een favoriet om de ~1~ aan de passen.
lDialogHotkeysManageListHeader	Menu|Naam van favoriet|Type|~1~|Locatie van favoriet of content
lDialogHotkeysManageListHeaderHotstrings	Hotstring|Opties
lDialogHotkeysManageListSeeAllFavorites	Alle favorieten weergeven
lDialogHotkeysManageListSeeShortHotkeyNames	Verkorte sneltoetsen en hotstrings weergeven
lDialogHotkeysManagePopup	Popup
lDialogHotkeysManageShortcutHotstringLower	Sneltoetsen|hotstring
lDialogHotkeysManageTitle	Sneltoetsen beheren - ~1~ ~2~
lDialogHotstring	Hotstring
lDialogHotstringCaseSensitive	Hoofdlettergevoelig
lDialogHotstringExpandInsideWords	Uitklappen binnen andere woorden
lDialogHotstringIndicator	hs
lDialogHotstringKeepHotstring	Behoudt de hotstring-afkorting
lDialogHotstringNotWaitEndingKey	Niet wachten op de eindtoets
lDialogHotstrings	Hotstrings
lDialogHotstringsDescription	Geeft het venster weer met een globaal overzicht van uw hotstrings (kleine toetsenreeks die automatisch QAP-favorieten activeren). U kunt favorieten sorteren door op de kop te klikken.`n`nDubbelklik op een hotstring om deze te bewerken.`n`nKlik op het selectievakje "Alle favorieten bekijken" om hotstrings aan andere favorieten toe te wijzen.
lDialogHotstringTriggerAbbreviation	Trigger (afkorting):
lDialogHotstringTriggerOptions	Hotstring (trigger en opties)
lDialogIcon	Pictogram
lDialogIconsManage	Pictogrammen
lDialogIconsManageAbout	Selecteer een nieuw pictogram voor het gewenste favoriet, of herstel het standaardpictogram. Vergeet niet om de wijzigingen op te slaan in het instellingenmenu.
lDialogIconsManageCurrent	Huidig pictogram
lDialogIconsManageDefault	Standaard pictogram
lDialogIconsManageDescription	Geeft het venster weer met alle favorieten in uw QAP-menu met de huidige pictogrammen en het standaardpictogram voor dit type favoriet. Favorieten zijn gegroepeerd op submenu's, in de volgorde waarin ze in uw menu verschijnen.`n`nKlik op de knoppen om een aangepast pictogram te selecteren of stel een favoriet in op het standaardpictogram.
lDialogIconsManageFavoriteName	Naam van pictogram
lDialogIconsManageNext	Volgende
lDialogIconsManageParentMenu	Favoriete hoofdmenu
lDialogIconsManagePrevious	Terug
lDialogIconsManageSetDefaultIcon	Stel standaard pictogram in
lDialogIconsManageTitle	Beheer pictogrammen - ~1~ ~2~
lDialogInvalidHotkey	Met de huidige toetsenbordindeling kan de sneltoets "~1~" niet gebruikt worden als commando voor het popup-menu.`n`nGelieve het instellingenmenu te openen vanuit de taakbalk en klik op "Instellingen". Selecteer hier een andere sneltoets voor "~2~".
lDialogInvalidHotkeyFavorite	Met de huidige toetsenbordindeling kan de sneltoets "~1~" niet gebruikt worden als snelkoppeling naar het favoriet "~2~".`n`nGelieve het instellingenmenu te openen vanuit de taakbalk en klik op "Instellingen". Selecteer hier een andere sneltoets voor "~2~" en zijn locatie "~3~".
lDialogKeyboard	Toetsenbord
lDialogLaunchWith	Starten met deze applicatie
lDialogListApplicationLabel	Applicatielijst voor:
